cat_id,cat_name,artist_id,artist_name,genres,face_count,face_id,face_pitch,face_yaw,face_roll,face_gender,face_glasses,face_height,face_width,face_beard,face_moustache,face_sideburns,face_smile
pop,Pop,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,dance pop;indie r&b;neo soul;pop;pop rap;rap,1,f6293636-7942-4510-9234-244dff7bbc92,0.0,-16.7,-3.8,male,NoGlasses,295,295,0.6,0.6,0.8,0.0
pop,Pop,6oMuImdp5ZcFhWP0ESe6mG,Migos,dwn trap;pop rap;rap;trap music,0,,,,,,,,,,,,
pop,Pop,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,pop;vegas indie,2,a22bc012-e10b-4891-ab06-c5b558276e58,0.0,7.6,-6.1,male,NoGlasses,43,43,0.4,0.4,0.2,0.002
pop,Pop,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,pop;vegas indie,2,c2dd0887-a6e4-4169-8459-d8331958d1e2,0.0,-29.8,0.7,male,NoGlasses,38,38,0.8,0.9,0.9,0.018
pop,Pop,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,dance pop;pop;pop christmas;post-teen pop,0,,,,,,,,,,,,
pop,Pop,6YehUEo9sZjXOWMAtPUr69,Future,,0,,,,,,,,,,,,
pop,Pop,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,big room;edm;progressive house;tropical house,1,2a8a2c2d-caf4-415d-9964-8568c95786ad,0.0,3.6,2.6,male,NoGlasses,195,195,0.1,0.0,0.0,0.0
pop,Pop,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,dance pop;pop;post-teen pop;tropical house,1,f130df54-b08f-445a-b38b-063ac3bed6e9,0.0,-7.9,11.6,female,NoGlasses,176,176,0.0,0.0,0.0,0.0
pop,Pop,6LuN9FCkKOj5PcnpouEgny,Khalid,indie r&b;pop;rap,0,,,,,,,,,,,,
pop,Pop,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,dance pop;pop;post-teen pop,0,,,,,,,,,,,,
